,PurchaseID,ProductID,SupplierID,TimeID,BranchID,UnitQuantity,UnitPrice,UnitTotal
0,1,3,1,1,287,4,6.0,24.0
1,2,7,1,2,64,4,1.75,7.0
2,2,21,4,2,64,2,175.56,351.12
3,2,28,9,2,64,12,225.53,2706.36
4,2,30,10,2,64,24,85.5,2052.0
5,2,6,1,2,64,23,3.25,74.75
6,2,14,2,2,64,21,23.45,492.45
7,3,17,3,3,9,1,67.87,67.87
8,3,21,4,3,9,10,175.56,1755.6
9,3,6,1,3,9,12,3.25,39.0
10,3,16,2,3,9,17,45.0,765.0
11,3,24,6,3,9,1,89.67,89.67
12,4,22,5,4,157,8,45.24,361.92
13,4,25,7,4,157,25,76.67,1916.75
14,4,4,1,4,157,19,0.75,14.25
15,4,27,8,4,157,12,245.54,2946.48
16,4,13,2,4,157,22,1.75,38.5
17,4,24,6,4,157,13,89.67,1165.71
18,4,6,1,4,157,8,3.25,26.0
19,5,23,5,5,21,18,43.34,780.1200000000001
20,5,24,6,5,21,25,89.67,2241.75
21,6,21,4,6,129,5,175.56,877.8
22,7,3,1,7,116,2,6.0,12.0
23,7,30,10,7,116,5,85.5,427.5
24,8,20,4,8,73,4,111.87,447.48
25,9,17,3,9,185,11,67.87,746.57
26,9,22,5,9,185,19,45.24,859.5600000000001
27,9,23,5,9,185,15,43.34,650.1
28,9,4,1,9,185,17,0.75,12.75
29,9,17,3,9,185,16,67.87,1085.92
30,9,19,4,9,185,2,145.34,290.68
31,10,30,10,10,290,5,85.5,427.5
32,10,11,2,10,290,1,9.98,9.98
33,10,8,1,10,290,9,2.54,22.86
34,10,19,4,10,290,10,145.34,1453.4
35,10,23,5,10,290,12,43.34,520.08
36,11,16,2,11,125,19,45.0,855.0
37,11,20,4,11,125,10,111.87,1118.7
38,11,4,1,11,125,18,0.75,13.5
39,11,24,6,11,125,23,89.67,2062.41
40,11,12,2,11,125,20,13.56,271.2
41,12,5,1,12,308,5,0.75,3.75
42,12,10,2,12,308,21,12.34,259.14
43,12,15,2,12,308,22,23.45,515.9
44,12,12,2,12,308,17,13.56,230.52
45,12,29,10,12,308,14,105.5,1477.0
46,12,23,5,12,308,13,43.34,563.4200000000001
47,13,26,7,13,387,14,98.89,1384.46
48,13,30,10,13,387,18,85.5,1539.0
49,13,19,4,13,387,22,145.34,3197.48
50,13,13,2,13,387,20,1.75,35.0
51,13,22,5,13,387,14,45.24,633.36
52,13,3,1,13,387,21,6.0,126.0
53,14,15,2,14,225,11,23.45,257.95
54,14,17,3,14,225,23,67.87,1561.0100000000002
55,14,4,1,14,225,21,0.75,15.75
56,14,19,4,14,225,7,145.34,1017.38
57,14,22,5,14,225,21,45.24,950.0400000000001
58,14,30,10,14,225,11,85.5,940.5
59,15,13,2,15,309,14,1.75,24.5
60,15,9,1,15,309,21,3.67,77.07
61,15,29,10,15,309,22,105.5,2321.0
62,15,28,9,15,309,9,225.53,2029.77
63,15,6,1,15,309,11,3.25,35.75
64,16,3,1,16,78,8,6.0,48.0
65,16,8,1,16,78,24,2.54,60.96
66,16,24,6,16,78,5,89.67,448.35
67,17,9,1,17,389,20,3.67,73.4
68,17,19,4,17,389,13,145.34,1889.42
69,17,22,5,17,389,7,45.24,316.68
70,17,7,1,17,389,1,1.75,1.75
71,17,3,1,17,389,6,6.0,36.0
72,18,22,5,18,130,25,45.24,1131.0
73,18,20,4,18,130,15,111.87,1678.0500000000002
74,18,15,2,18,130,11,23.45,257.95
75,18,23,5,18,130,8,43.34,346.72
76,19,19,4,19,246,15,145.34,2180.1
77,19,7,1,19,246,16,1.75,28.0
78,20,22,5,20,387,15,45.24,678.6
79,21,23,5,21,209,17,43.34,736.7800000000001
80,21,18,3,21,209,3,123.4,370.20000000000005
81,21,3,1,21,209,2,6.0,12.0
82,22,13,2,22,218,14,1.75,24.5
83,22,15,2,22,218,17,23.45,398.65
84,22,25,7,22,218,4,76.67,306.68
85,23,18,3,23,311,1,123.4,123.4
86,23,25,7,23,311,16,76.67,1226.72
87,23,26,7,23,311,11,98.89,1087.79
88,23,21,4,23,311,1,175.56,175.56
89,24,25,7,24,247,20,76.67,1533.4
90,24,4,1,24,247,19,0.75,14.25
91,24,27,8,24,247,13,245.54,3192.02
92,24,1,1,24,247,12,3.75,45.0
93,25,26,7,25,26,19,98.89,1878.91
94,25,13,2,25,26,16,1.75,28.0
95,25,4,1,25,26,15,0.75,11.25
96,25,7,1,25,26,22,1.75,38.5
97,25,10,2,25,26,24,12.34,296.15999999999997
98,26,5,1,26,125,12,0.75,9.0
99,27,9,1,27,97,13,3.67,47.71
100,28,11,2,28,303,19,9.98,189.62
101,28,3,1,28,303,19,6.0,114.0
102,28,13,2,28,303,19,1.75,33.25
103,29,26,7,29,113,6,98.89,593.34
104,29,16,2,29,113,5,45.0,225.0
105,29,20,4,29,113,17,111.87,1901.79
106,29,5,1,29,113,16,0.75,12.0
107,29,16,2,29,113,17,45.0,765.0
108,30,15,2,30,331,18,23.45,422.09999999999997
109,30,29,10,30,331,1,105.5,105.5
110,30,16,2,30,331,4,45.0,180.0
111,30,23,5,30,331,8,43.34,346.72
112,30,4,1,30,331,21,0.75,15.75
113,31,30,10,31,397,18,85.5,1539.0
114,31,7,1,31,397,13,1.75,22.75
115,31,4,1,31,397,23,0.75,17.25
116,31,4,1,31,397,3,0.75,2.25
117,31,6,1,31,397,12,3.25,39.0
118,32,21,4,32,149,3,175.56,526.6800000000001
119,32,9,1,32,149,1,3.67,3.67
120,33,11,2,33,85,20,9.98,199.60000000000002
121,34,25,7,34,216,25,76.67,1916.75
122,34,28,9,34,216,10,225.53,2255.3
123,34,16,2,34,216,25,45.0,1125.0
124,35,21,4,35,392,22,175.56,3862.32
125,35,13,2,35,392,11,1.75,19.25
126,36,10,2,36,243,1,12.34,12.34
127,37,2,1,37,246,14,2.3,32.199999999999996
128,37,20,4,37,246,4,111.87,447.48
129,38,7,1,38,198,21,1.75,36.75
130,38,26,7,38,198,4,98.89,395.56
131,38,20,4,38,198,10,111.87,1118.7
132,38,6,1,38,198,11,3.25,35.75
133,38,17,3,38,198,1,67.87,67.87
134,38,18,3,38,198,18,123.4,2221.2000000000003
135,38,5,1,38,198,21,0.75,15.75
136,39,12,2,39,389,6,13.56,81.36
137,39,21,4,39,389,8,175.56,1404.48
138,40,2,1,40,151,7,2.3,16.099999999999998
139,40,1,1,40,151,4,3.75,15.0
140,40,19,4,40,151,14,145.34,2034.76
141,40,1,1,40,151,3,3.75,11.25
142,40,29,10,40,151,5,105.5,527.5
143,41,29,10,41,54,16,105.5,1688.0
144,41,15,2,41,54,14,23.45,328.3
145,42,17,3,42,367,10,67.87,678.7
146,43,7,1,43,199,18,1.75,31.5
147,43,19,4,43,199,9,145.34,1308.06
148,43,22,5,43,199,13,45.24,588.12
149,43,13,2,43,199,3,1.75,5.25
150,43,15,2,43,199,15,23.45,351.75
151,43,7,1,43,199,21,1.75,36.75
152,43,17,3,43,199,1,67.87,67.87
153,44,24,6,44,388,19,89.67,1703.73
154,44,23,5,44,388,12,43.34,520.08
155,44,14,2,44,388,2,23.45,46.9
156,44,8,1,44,388,1,2.54,2.54
157,44,28,9,44,388,6,225.53,1353.18
158,44,7,1,44,388,23,1.75,40.25
159,44,4,1,44,388,21,0.75,15.75
160,45,16,2,45,313,18,45.0,810.0
161,45,11,2,45,313,22,9.98,219.56
162,46,22,5,46,195,22,45.24,995.2800000000001
163,46,26,7,46,195,17,98.89,1681.13
164,46,14,2,46,195,10,23.45,234.5
165,46,12,2,46,195,4,13.56,54.24
166,46,6,1,46,195,24,3.25,78.0
167,46,2,1,46,195,2,2.3,4.6
168,46,13,2,46,195,14,1.75,24.5
169,47,11,2,47,393,19,9.98,189.62
170,47,2,1,47,393,22,2.3,50.599999999999994
171,47,26,7,47,393,14,98.89,1384.46
172,48,1,1,48,229,14,3.75,52.5
173,49,24,6,49,80,18,89.67,1614.06
174,49,2,1,49,80,4,2.3,9.2
175,50,5,1,50,206,5,0.75,3.75
176,50,9,1,50,206,1,3.67,3.67
177,50,21,4,50,206,5,175.56,877.8
178,50,22,5,50,206,11,45.24,497.64000000000004
179,51,12,2,51,361,18,13.56,244.08
180,51,6,1,51,361,20,3.25,65.0
181,51,17,3,51,361,22,67.87,1493.14
182,51,2,1,51,361,12,2.3,27.599999999999998
183,51,30,10,51,361,15,85.5,1282.5
184,52,4,1,52,4,23,0.75,17.25
185,52,21,4,52,4,7,175.56,1228.92
186,52,27,8,52,4,22,245.54,5401.88
187,52,29,10,52,4,22,105.5,2321.0
188,53,16,2,53,31,1,45.0,45.0
189,53,26,7,53,31,15,98.89,1483.35
190,53,20,4,53,31,2,111.87,223.74
191,54,24,6,54,117,11,89.67,986.37
192,54,24,6,54,117,16,89.67,1434.72
193,54,20,4,54,117,20,111.87,2237.4
