,SaleID,MenuItemID,MenuItemQuantity,Total,TimeID
0,1,11,3,44.37,10000
1,1,21,5,12.5,10000
2,1,21,1,2.5,10000
3,1,11,1,14.79,10000
4,2,28,4,9.96,10001
5,2,9,2,23.78,10001
6,2,8,1,9.95,10001
7,2,12,3,44.37,10001
8,2,27,1,1.5,10001
9,3,10,5,73.94999999999999,10002
10,3,25,2,15.0,10002
11,3,17,5,37.5,10002
12,4,14,1,13.49,10003
13,5,10,1,14.79,10004
14,5,20,1,4.5,10004
15,6,27,1,1.5,10005
16,6,16,4,30.0,10005
17,7,2,1,11.69,10006
18,7,21,2,5.0,10006
19,7,5,1,11.65,10006
20,7,27,4,6.0,10006
21,8,10,1,14.79,10007
22,8,10,4,59.16,10007
23,8,24,4,17.6,10007
24,9,3,2,25.78,10008
25,9,19,5,14.950000000000001,10008
26,9,6,2,19.9,10008
27,9,28,2,4.98,10008
28,10,19,1,2.99,10009
29,10,8,5,49.75,10009
30,10,16,4,30.0,10009
31,10,13,4,59.16,10009
32,10,14,4,53.96,10009
33,11,8,1,9.95,10010
34,12,3,5,64.45,10011
35,12,13,2,29.58,10011
36,12,5,2,23.3,10011
37,13,17,2,15.0,10012
38,13,28,3,7.470000000000001,10012
39,13,14,5,67.45,10012
40,14,7,5,63.75,10013
41,14,2,4,46.76,10013
42,14,29,4,12.0,10013
43,14,13,2,29.58,10013
44,15,28,1,2.49,10014
45,16,13,5,73.94999999999999,10015
46,16,22,2,4.0,10015
47,16,25,1,7.5,10015
48,16,21,1,2.5,10015
49,17,23,5,44.75,10016
50,18,8,1,9.95,10017
51,18,13,1,14.79,10017
52,18,20,5,22.5,10017
53,18,8,5,49.75,10017
54,19,8,2,19.9,10018
55,19,10,5,73.94999999999999,10018
56,19,12,1,14.79,10018
57,19,30,3,11.25,10018
58,19,5,1,11.65,10018
59,20,29,5,15.0,10019
60,20,7,1,12.75,10019
61,20,22,4,8.0,10019
62,21,2,3,35.07,10020
63,21,2,3,35.07,10020
64,21,23,5,44.75,10020
65,21,16,2,15.0,10020
66,22,14,3,40.47,10021
67,22,23,2,17.9,10021
68,22,6,4,39.8,10021
69,23,13,5,73.94999999999999,10022
70,23,18,2,15.0,10022
71,23,11,1,14.79,10022
72,23,17,2,15.0,10022
73,23,11,5,73.94999999999999,10022
74,24,19,2,5.98,10023
75,24,13,1,14.79,10023
76,24,19,4,11.96,10023
77,24,2,3,35.07,10023
78,24,8,2,19.9,10023
79,25,26,3,18.75,10024
80,25,15,1,9.25,10024
81,25,9,5,59.45,10024
82,26,15,2,18.5,10025
83,27,24,1,4.4,10026
84,27,25,1,7.5,10026
85,27,27,3,4.5,10026
86,27,5,4,46.6,10026
87,27,28,1,2.49,10026
88,28,15,5,46.25,10027
89,29,27,3,4.5,10028
90,30,12,3,44.37,10029
91,31,25,2,15.0,10030
92,31,28,5,12.450000000000001,10030
93,32,30,2,7.5,10031
94,32,10,2,29.58,10031
95,32,6,2,19.9,10031
96,33,9,2,23.78,10032
97,33,30,5,18.75,10032
98,33,17,1,7.5,10032
99,33,18,2,15.0,10032
100,34,8,2,19.9,10033
101,35,10,4,59.16,10034
102,35,14,1,13.49,10034
103,36,24,2,8.8,10035
104,37,10,3,44.37,10036
105,37,28,3,7.470000000000001,10036
106,37,15,4,37.0,10036
107,38,1,4,41.96,10037
108,38,9,5,59.45,10037
109,38,25,4,30.0,10037
110,38,26,5,31.25,10037
111,39,25,1,7.5,10038
112,39,14,2,26.98,10038
113,39,30,4,15.0,10038
114,40,19,4,11.96,10039
115,40,21,4,10.0,10039
116,41,6,2,19.9,10040
117,41,20,2,9.0,10040
118,41,23,5,44.75,10040
119,41,25,3,22.5,10040
120,42,28,2,4.98,10041
121,42,29,2,6.0,10041
122,42,12,1,14.79,10041
123,43,8,4,39.8,10042
124,43,21,2,5.0,10042
125,43,18,4,30.0,10042
126,43,4,2,34.5,10042
127,44,23,5,44.75,10043
128,44,18,1,7.5,10043
129,44,1,1,10.49,10043
130,44,1,2,20.98,10043
131,44,1,4,41.96,10043
132,45,26,5,31.25,10044
133,45,8,3,29.849999999999998,10044
134,45,22,4,8.0,10044
