,TimeID,Day,Month,Year,Quarter,Time
0,1,2,8,2021,3,18:30:50
1,2,24,3,2020,1,17:54:15
2,3,28,5,2020,2,20:19:19
3,4,19,12,2020,4,12:7:9
4,5,25,7,2019,3,14:3:45
5,6,18,1,2021,1,9:10:41
6,7,5,9,2019,3,14:35:3
7,8,22,6,2019,2,15:17:32
8,9,17,2,2019,1,9:22:56
9,10,23,6,2019,2,9:15:5
10,11,13,6,2019,2,9:29:18
11,12,23,9,2021,3,11:33:26
12,13,25,7,2021,3,10:47:44
13,14,23,7,2019,3,11:46:45
14,15,28,5,2020,2,13:51:44
15,16,21,9,2021,3,19:34:39
16,17,6,8,2021,3,12:2:20
17,18,21,9,2020,3,9:5:16
18,19,27,10,2020,4,11:1:48
19,20,24,6,2020,2,10:27:48
20,21,19,7,2021,3,19:24:45
21,22,19,9,2021,3,19:1:33
22,23,28,4,2021,2,16:16:28
23,24,1,12,2019,4,18:17:58
24,25,23,2,2021,1,10:23:21
25,26,10,3,2020,1,16:42:59
26,27,25,1,2020,1,10:22:56
27,28,17,7,2021,3,11:26:33
28,29,7,7,2021,3,19:50:25
29,30,22,6,2019,2,19:21:1
30,31,21,4,2019,2,14:15:25
31,32,22,4,2019,2,17:10:15
32,33,18,5,2019,2,14:46:18
33,34,2,12,2019,4,11:24:47
34,35,5,7,2020,3,14:2:41
35,36,12,3,2021,1,16:59:18
36,37,9,8,2020,3,18:18:54
37,38,6,2,2020,1,12:56:44
38,39,26,5,2020,2,14:25:13
39,40,24,1,2020,1,9:53:3
40,41,9,9,2019,3,19:12:4
41,42,8,5,2020,2,21:52:59
42,43,5,3,2021,1,20:21:2
43,44,14,11,2019,4,20:14:16
44,45,4,10,2020,4,14:15:44
45,46,24,8,2019,3,20:50:11
46,47,23,1,2019,1,12:31:17
47,48,27,4,2020,2,16:16:41
48,49,14,12,2019,4,10:1:44
49,50,14,8,2019,3,9:43:30
50,51,17,5,2021,2,18:23:24
51,52,19,4,2021,2,9:19:39
52,53,15,8,2021,3,12:27:4
53,54,22,6,2019,2,20:15:0
54,55,14,2,2021,1,11:59:46
55,56,23,8,2020,3,11:6:29
56,57,2,12,2019,4,10:21:34
57,58,4,8,2021,3,13:44:47
58,59,16,1,2021,1,14:17:2
59,60,7,3,2021,1,18:30:35
60,61,14,1,2021,1,17:35:4
61,62,1,4,2021,2,20:7:12
62,63,13,8,2019,3,10:31:53
63,64,5,12,2020,4,21:20:27
64,65,5,9,2021,3,20:46:39
65,66,15,8,2021,3,11:52:23
66,67,9,12,2020,4,16:29:31
67,68,13,10,2019,4,19:6:30
68,69,20,10,2020,4,11:25:49
69,70,19,7,2019,3,19:11:9
70,71,27,12,2020,4,18:17:59
71,72,23,8,2020,3,16:21:32
72,73,10,2,2021,1,21:16:50
73,74,17,12,2020,4,15:56:55
74,75,6,5,2020,2,21:8:53
75,76,18,1,2019,1,14:55:43
76,77,16,4,2019,2,20:13:50
77,78,18,3,2021,1,17:26:46
78,79,18,12,2019,4,14:13:13
79,80,25,5,2021,2,9:19:41
80,81,7,8,2019,3,16:1:59
81,82,23,8,2019,3,9:12:16
82,83,17,12,2019,4,16:1:36
83,84,14,3,2021,1,12:13:0
84,85,18,5,2021,2,21:48:22
85,86,7,7,2021,3,13:35:4
86,87,25,5,2019,2,16:46:9
87,88,16,1,2021,1,16:4:40
88,89,27,8,2020,3,10:13:20
89,90,3,7,2020,3,19:46:34
90,91,11,5,2021,2,17:13:54
91,92,27,8,2021,3,14:43:57
92,93,2,7,2020,3,14:19:53
93,94,13,2,2020,1,16:22:55
94,95,24,7,2021,3,21:21:40
95,96,1,6,2021,2,21:9:46
96,97,5,5,2020,2,12:58:33
97,98,10,11,2019,4,14:53:58
98,99,21,1,2019,1,19:43:45
99,100,22,5,2019,2,20:24:51
100,101,28,1,2020,1,18:58:55
101,102,3,8,2020,3,11:17:3
102,103,25,12,2020,4,9:54:12
103,104,15,11,2019,4,10:27:11
104,105,5,2,2019,1,13:49:20
105,106,17,12,2020,4,18:48:52
106,107,12,5,2020,2,14:11:29
107,108,25,2,2019,1,21:20:1
108,109,21,4,2021,2,15:11:3
109,110,20,3,2019,1,15:11:20
110,111,13,8,2021,3,15:51:23
111,112,26,5,2021,2,11:41:27
112,113,15,8,2020,3,13:37:21
113,114,5,6,2021,2,12:43:10
114,115,17,7,2020,3,20:37:23
115,116,22,7,2019,3,20:10:15
116,117,15,7,2020,3,16:33:42
117,118,28,8,2020,3,10:14:24
118,119,14,6,2019,2,20:5:22
119,120,5,5,2020,2,9:0:36
120,121,27,12,2019,4,17:42:26
121,122,13,8,2021,3,20:30:22
122,123,2,12,2019,4,20:44:49
123,124,3,3,2019,1,14:48:43
124,125,27,5,2019,2,9:44:44
125,126,15,6,2021,2,17:27:35
126,127,13,8,2020,3,12:37:37
127,128,8,12,2020,4,20:23:6
128,129,18,4,2020,2,19:46:22
129,130,7,11,2020,4,20:28:57
130,131,19,2,2020,1,21:8:12
131,132,7,3,2020,1,15:22:45
132,133,13,7,2021,3,11:41:6
133,134,1,5,2021,2,13:37:1
134,135,12,4,2021,2,14:55:14
135,136,27,4,2021,2,17:48:7
136,137,15,12,2019,4,12:52:42
137,138,16,11,2019,4,13:52:31
138,139,28,9,2019,3,10:4:11
139,140,12,11,2019,4,11:22:58
140,141,5,8,2019,3,17:21:38
141,142,6,2,2021,1,12:4:1
