MenuItemID,MenuItemQuantity,SaleID,TimeID,Total,BranchID
11,1,1,10000,14.79,264
11,3,1,10000,44.37,264
21,1,1,10000,2.5,264
21,5,1,10000,12.5,264
8,1,2,10001,9.95,158
9,2,2,10001,23.78,158
12,3,2,10001,44.37,158
27,1,2,10001,1.5,158
28,4,2,10001,9.96,158
10,5,3,10002,73.94999999999999,78
17,5,3,10002,37.5,78
25,2,3,10002,15.0,78
14,1,4,10003,13.49,58
10,1,5,10004,14.79,57
20,1,5,10004,4.5,57
16,4,6,10005,30.0,29
27,1,6,10005,1.5,29
2,1,7,10006,11.69,376
5,1,7,10006,11.65,376
21,2,7,10006,5.0,376
27,4,7,10006,6.0,376
10,1,8,10007,14.79,358
10,4,8,10007,59.16,358
24,4,8,10007,17.6,358
3,2,9,10008,25.78,343
6,2,9,10008,19.9,343
19,5,9,10008,14.950000000000001,343
28,2,9,10008,4.98,343
8,5,10,10009,49.75,116
13,4,10,10009,59.16,116
14,4,10,10009,53.96,116
16,4,10,10009,30.0,116
19,1,10,10009,2.99,116
8,1,11,10010,9.95,343
3,5,12,10011,64.45,52
5,2,12,10011,23.3,52
13,2,12,10011,29.58,52
14,5,13,10012,67.45,220
17,2,13,10012,15.0,220
28,3,13,10012,7.470000000000001,220
2,4,14,10013,46.76,325
7,5,14,10013,63.75,325
13,2,14,10013,29.58,325
29,4,14,10013,12.0,325
28,1,15,10014,2.49,120
13,5,16,10015,73.94999999999999,246
21,1,16,10015,2.5,246
22,2,16,10015,4.0,246
25,1,16,10015,7.5,246
23,5,17,10016,44.75,307
8,1,18,10017,9.95,313
8,5,18,10017,49.75,313
13,1,18,10017,14.79,313
20,5,18,10017,22.5,313
5,1,19,10018,11.65,247
8,2,19,10018,19.9,247
10,5,19,10018,73.94999999999999,247
12,1,19,10018,14.79,247
30,3,19,10018,11.25,247
7,1,20,10019,12.75,48
22,4,20,10019,8.0,48
29,5,20,10019,15.0,48
2,3,21,10020,35.07,47
2,3,21,10020,35.07,47
16,2,21,10020,15.0,47
23,5,21,10020,44.75,47
6,4,22,10021,39.8,354
14,3,22,10021,40.47,354
23,2,22,10021,17.9,354
11,1,23,10022,14.79,95
11,5,23,10022,73.94999999999999,95
13,5,23,10022,73.94999999999999,95
17,2,23,10022,15.0,95
18,2,23,10022,15.0,95
2,3,24,10023,35.07,8
8,2,24,10023,19.9,8
13,1,24,10023,14.79,8
19,2,24,10023,5.98,8
19,4,24,10023,11.96,8
9,5,25,10024,59.45,208
15,1,25,10024,9.25,208
26,3,25,10024,18.75,208
15,2,26,10025,18.5,366
5,4,27,10026,46.6,77
24,1,27,10026,4.4,77
25,1,27,10026,7.5,77
27,3,27,10026,4.5,77
28,1,27,10026,2.49,77
15,5,28,10027,46.25,261
27,3,29,10028,4.5,236
12,3,30,10029,44.37,294
25,2,31,10030,15.0,90
28,5,31,10030,12.450000000000001,90
6,2,32,10031,19.9,123
10,2,32,10031,29.58,123
30,2,32,10031,7.5,123
